name,address,website,phone_number,latitude,longitude,category,reviews_count,reviews_average
Rajath Medical & General Store,"Shop No 1 & 2, GF, Basavanapura Main Rd, 2nd Cross Rd, near Chikkabasavanapura, Manjunatha, Krishnarajapura, Bengaluru, Karnataka 560036",apollopharmacy.in,080 2990 0314,13.0105263,77.6672161,pharmacy,,
Apollo Pharmacy CV Raman Nagar,"XPHM+HG5, Pattandur Agrahara Main Rd, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066",,,12.978887,77.6978245,pharmacy,,
NELIVIGI PHARMACY,"Shop No 1 189/5, Pid No 11 6th Main Rd, Kaggadasapura, C V Raman Nagar, Bengaluru, Karnataka 560093",apollopharmacy.in,080 4096 8551,12.9739552,77.6374498,pharmacy,,
Apollo Pharmacy Bellandur,"447, Bellandur Gate Rd, Bellandur, Bengaluru, Karnataka 560103",nelivigimultispecialityhospital.com,070222 09038,12.9240001,77.6377793,pharmacy,,
Apollo Pharmacy Bellandur,"No 56, Laxman Reddy Building, DB Halli, Devarabisanahalli, Bellandur, Bengaluru, Karnataka 560103",apollopharmacy.in,080 4210 6464,12.9240001,77.6377793,pharmacy,,
Gokarna Pharmacy,"Shop No 1, Ground, Balaji Apartments, Vijayasri Golden Orchids Rd, Adarsh Palm Retreat, Bellandur, Bengaluru, Karnataka 560103",apollopharmacy.in,091485 96837,12.9240001,77.6377793,pharmacy,,
Apollo Pharmacy,"78, Basavanapura Main Rd, Gokula Layout, Krishnarajapura, Bengaluru, Karnataka 560036",,,13.0064901,77.6734942,pharmacy,,
Netmeds Pharmacy,"Subbiksha elite, Outer Ring Road - Whitefield Road Bypass Road, near Chinnu Paradise Apartment, Ferns City, Doddanekkundi, Bengaluru, Karnataka 560037",,093552 47247,12.9729419,77.6634629,pharmacy,,
Apollo Pharmacy Bnarayanapura,"Sy No26/5 Kno 597/3, SMART Point, No 59 61 79 80, 96/2 Shrusti Layout Phase 1, Basavanapura Rd, Vil, Krishnarajapura, Bengaluru, Karnataka 560036",netmeds.com,093240 70753,13.0067728,77.673356,pharmacy,,
Apollo Pharmacy Hal 2nd Stage,"PWD, No 1, Ground Floor, Lakshmi Layout, A Main Rd, Akash Nagar, B Narayanapura, Bengaluru, Karnataka 560016",apollopharmacy.in,080 2296 0496,12.9918778,77.6422612,pharmacy,,
RxDx Pharmacy - Pharmacy in Kadugodi,"Ward No 74, Ground Floor PID No 74/3/111, near Nandini Hotel, HAL 2nd Stage, Bengaluru, Karnataka 560008",apollopharmacy.in,080 4371 1884,12.9625542,77.6068951,pharmacy,,
Pharmacy,"C/O RxDx, above Dominos Pizza, opp. Sai Baba Ashram, Kadugodi, Bengaluru, Karnataka 560067",rxdx.in,090140 91111,12.9908482,77.7246991,pharmacy,,
Aster Pharmacy - Tata Sherwood,"38, ಹೊರ ವರ್ತುಲ ರಸ್ತೆ, Bellandur, Bengaluru, Karnataka 560103",apollopharmacy.in,,12.9247475,77.6386954,pharmacy,,
Apollo Pharmacy,"Shop No - 5, Sherwood Galleria, Basavanagar Main Road Vibhutipura, Post, Extn, Marathahalli, Bengaluru, Karnataka 560037",marathahalli.asterpharmacy.in,080 4275 3753,12.9694589,77.6467849,pharmacy,,
Aster Pharmacy - Nagavarapalya Main Road,"199, 5th Main Rd, BEML Layout 6th Stage, BEML Layout, Brookefield, Bengaluru, Karnataka 560066",apollopharmacy.in,093552 47247,12.9605295,77.6814542,pharmacy,,
Ashwini Medicals,"No 87, 5, Kaggadasapura Main Rd, Nagavarapalya, Kaggadasapura, Bengaluru, Karnataka 560093",cvramannagar.asterpharmacy.in,090211 07089,12.9923803,77.6277437,pharmacy,,
MEDPLUS NAGONDANAHALLI MAIN ROAD,"No 65/12 Shop No 5 Ground Floor, Siddhapura Main Rd, near Shiva Temple Nellurahalli, Whitefield, Bengaluru, Karnataka 560066",,097409 53649,12.9635231,77.6964624,pharmacy,,
Apollo Pharmacy Marathahalli,"Survey No.42/7, Khatha, 1, Immadihalli Main Rd, Byrappa Layout, Sathya Sai Layout, Whitefield, Bengaluru, Karnataka 560066",medplusmart.com,040 6700 6700,12.9635231,77.6964624,pharmacy,,
Aster Pharmacy - Kaggadasapura,"Shop No 1 & 2, Khatha/Survey No 45/2, GF Ward 86, 2nd Main, Road, near Tulasi Theatre, Marathahalli, Bengaluru, Karnataka 560037",apollopharmacy.in,091547 31747,12.9630584,77.6452563,pharmacy,,
Star Medical,"No 36 New Khatha no 303/2A-1 9Th cross Road, Kaggadasapura Main Rd, C V Raman Nagar, Bengaluru, Karnataka 560093",kaggadasapura.asterpharmacy.in,090211 10070,12.9630584,77.6452563,pharmacy,,
Apollo Pharmacy Akshay Nagar-Bangalore,"1st A Main Rd, Gandhipura, Gandhipuram, Whitefield, Bengaluru, Karnataka 560066",,098860 81211,12.9724683,77.7173372,pharmacy,,
Apollo Pharmacy Vijinapura,"35/2, Ground Floor, Akshaya Nagar, Thambu Chetty Palya Main Rd, Ramamurthy Nagar, Bengaluru, Karnataka 560016",apollopharmacy.in,063648 53510,13.022438,77.6445131,pharmacy,,
